Ship,Best Against,Main Weapon,Aura Ability,Zen Ability,Rarity
Shinova,Shield,Focused,Bullet Emp,Kappa Drive,Common
NC-150,Shield,Spread,Stun Emp,Personal Shield,Common
Tar'cah,No Armor,Focused,Point Defense,Kappa Drive,Common
Veil,Shield,Beam,Bullet Emp,Mega Bomb,Common
Krillou,Armor,Blast,Stun Emp,Mega Bomb,Rare
Jericho,Armor,Homing,Bullet Emp,Personal Shield,Common
Fujin,No Armor,Beam,Laser Storm,Mega Laser,Super Rare
Jn'dur,Shield,Spread,Barrier,Mega Bomb,Common
Tempest,No Armor,Spread,Bullet Emp,Mega Laser,Common
Yoth-Hola,Shield,Homing,Point Defense,Personal Shield,Super Rare
Razor VI,Shield,Beam,Barrier,Mega Laser,Common
Mist Star,Shield,Homing,Stun Emp,Kappa Drive,Common
Proxymar,Shield,Tracking,Missile Swarm,Mega Bomb,Common
Oran,Armor,Tracking,Stun Emp,Kappa Drive,Super Rare
Kada Veni,Armor,Homing,Barrier,Mega Bomb,Common
Wrackr,No Armor,Spread,Point Defense,Mega Bomb,Common
Trireme,Shield,Tracking,Missile Swarm,Teleport,Super Rare
Cinnri,No Armor,Homing,Stun Emp,Mega Laser,Super Rare
Phoenix,Shield,Focused,Bullet Emp,Personal Shield,Rare
Buhloo,No Armor,Beam,Laser Storm,Mega Bomb,Common
Czar,Shield,Tracking,Stun Emp,Teleport,Rare
Havoc,Armor,Blast,Laser Storm,Mega Laser,Rare
Geist,No Armor,Spread,Missile Swarm,Personal Shield,Super Rare
Juggernaut,Armor,Blast,Bullet Emp,Mega Bomb,Rare
Tillat'or,No Armor,Focused,Barrier,Teleport,Rare
Elyon,No Armor,Beam,Laser Storm,Kappa Drive,Common
Ogon,Armor,Tracking,Laser Storm,Kappa Drive,Common
Vuxine,Shield,Homing,Point Defense,Kappa Drive,Rare
Photurius,Armor,Spread,Stun Emp,Mega Laser,Rare
Xaniea,Armor,Spread,Laser Storm,Teleport,Super Rare
Arietis,Shield,Spread,Point Defense,Mega Laser,Rare
Atlas,Armor,Focused,Missile Swarm,Personal Shield,Rare
Essin,Shield,Spread,Laser Storm,Personal Shield,Rare
EX04239,Armor,Beam,Missile Swarm,Mega Laser,Rare
Aurora,No Armor,Blast,Bullet Emp,Teleport,Super Rare
Von Braun,Armor,Blast,Missile Swarm,Kappa Drive,Rare
Gorthaur,No Armor,Spread,Barrier,Personal Shield,Rare
Heechi,No Armor,Homing,Barrier,Kappa Drive,Super Rare
Prime X,Armor,Focused,Missile Swarm,Teleport,Rare
Sakura,Armor,Focused,Barrier,Teleport,Super Rare
Vani-Vith,No Armor,Focused,Vorpal Lance,Teleport,Rare
Zephyr,Armor,Focused,Point Defense,Kappa Drive,Common
Baqlor,No Armor,Beam,Chrono Field,Mega Bomb,Super Rare
502-Q8,Shield,Focused,Phalanx,Mega Laser,Common
Dragonfly,No Armor,Spread,Ion Cannon,Mega Bomb,Common
Hime,Armor,Homing,Chrono Field,Mega Laser,Super Rare
Hunter,Armor,Focused,Phalanx,Teleport,Rare
Gladius,Shield,Homing,Vorpal Lance,Kappa Drive,Common
Lokie,Armor,Spread,Laser Storm,Personal Shield,Common
Barret,No Armor,Focused,Ion Cannon,Teleport,Rare
Saber,Armor,Homing,Vorpal Lance,Reflex Emp,Rare
Valkyrie,Shield,Focused,Phalanx,Mega Bomb,Common
Proteus,Armor,Blast,Point Defense,Mega Laser,Rare
Yigothu,Shield,Homing,Chrono Field,Reflex Emp,Super Rare
Torrent,No Armor,Tracking,Stun Emp,Personal Shield,Common
Orion,Armor,Homing,Point Defense,Teleport,Rare
Exarch,Shield,Beam,Vorpal Lance,Mega Laser,Super Rare
Njorun,Shield,Blast,Chrono Field,Personal Shield,Rare
Boxer,No Armor,Beam,Phalanx,Reflex Emp,Common
Sonah,Armor,Homing,Ion Cannon,Reflex Emp,Rare
Corsair,No Armor,Focused,Missile Swarm,Tracking Minigun,Super Rare
Antioch,Armor,Tracking,Vorpal Lance,Personal Shield,Common
UHB,No Armor,Tracking,Missile Swarm,Reflex Emp,Rare
Trinity,Armor,Focused,Chrono Field,Trinity Teleport,Super Rare
Wraith,No Armor,Beam,Vorpal Lance,Mega Bomb,Super Rare
X-81,Shield,Homing,Ion Cannon,Mega Laser,Super Rare
Scuuxun,Shield,Focused,Laser Storm,Reflex Emp,Rare
Shogun,Armor,Tracking,Blade Storm,Reflex Emp,Super Rare
NC-271,Shield,Focused,Ion Cannon,Personal Shield,Rare
Predator,Armor,Focused,Barrier,Reflex Emp,Rare
Lorilou,No Armor,Tracking,Phalanx,Mega Laser,Rare
AB8/KLYN,No Armor,Spread,Point Defense,Reflex Emp,Rare
